P9PL2;A07;p9_70;neutral;neutral;;P9PL2;F03;p9_116;neutral;neutral
P9PL2;A08;p9_71;neutral;neutral;;P9PL2;F04;p9_117;neutral;neutral
P9PL2;A09;p9_72;neutral;neutral;;P9PL2;F05;p9_118;neutral;neutral
P9PL2;A10;p9_73;neutral;neutral;;P9PL2;F06;p9_119;neutral;neutral
P9PL2;A11;p9_74;neutral;neutral;;P9PL2;F07;p9_120;neutral;neutral
P9PL2;B02;p9_75;neutral;neutral;;P9PL2;F08;p9_121;neutral;down
P9PL2;B03;p9_76;neutral;neutral;;P9PL2;F09;p9_122;neutral;neutral
P9PL2;B04;p9_77;neutral;neutral;;P9PL2;F10;p9_123;neutral;neutral
P9PL2;B05;p9_78;neutral;neutral;;P9PL2;F11;p9_124;neutral;neutral
P9PL2;B06;p9_79;neutral;neutral;;P9PL2;G02;p9_125;neutral;down
P9PL2;B07;p9_80;neutral;neutral;;P9PL2;G03;p9_126;neutral;neutral
P9PL2;B08;p9_81;neutral;neutral;;P9PL2;G04;p9_127;neutral;neutral
P9PL2;B09;p9_82;neutral;neutral;;P9PL2;G05;p9_128;neutral;neutral
P9PL2;B10;p9_83;neutral;neutral;;P9PL2;G06;p9_129;neutral;neutral
P9PL2;B11;p9_84;neutral;neutral;;P9PL2;G07;p9_130;neutral;neutral
P9PL2;C02;p9_85;neutral;neutral;;P9PL2;G08;p9_131;neutral;neutral
P9PL2;C03;p9_86;neutral;neutral;;P9PL2;G09;p9_132;neutral;neutral
P9PL2;C04;p9_87;neutral;neutral;;P9PL2;G10;p9_133;neutral;up
P9PL2;C05;p9_88;neutral;neutral;;P9PL2;G11;p9_134;neutral;neutral
P9PL2;C06;p9_89;neutral;neutral;;P9PL2;H02;p9_135;neutral;neutral
P9PL2;C07;p9_90;neutral;neutral;;P9PL2;H03;p9_136;neutral;neutral
P9PL2;C08;p9_91;neutral;neutral;;P9PL2;H04;p9_137;neutral;down
P9PL2;C09;p9_92;neutral;neutral;;P9PL2;H05;p9_138;neutral;down
P9PL2;C10;p9_93;neutral;neutral;;P9PL2;H06;p9_139;neutral;neutral
P9PL2;C11;p9_94;neutral;neutral;;P9PL2;H07;p9_140;neutral;neutral
P9PL2;D02;p9_95;neutral;neutral;;P9PL2;H08;p9_141;neutral;neutral
P9PL2;D03;p9_96;neutral;neutral;;P9PL2;H09;p9_142;neutral;neutral
P9PL2;D04;p9_97;neutral;neutral;;P9PL2;H10;p9_143;neutral;neutral
P9PL2;D05;p9_98;neutral;neutral;;P9PL2;H11;p9_144;neutral;neutral
